game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,58.82,0.2,55.4,0.254,1924,0.238,1916,0.339,1913
10000,0.24,58.51,0.3,111.9,0.28,1925,0.267,1917,0.292,1914
15000,0.21,59.98,0.2,169.3,0.244,1925,0.312,1918,0.272,1914
20000,0.18,60.32,0.3,227.5,0.258,1925,0.292,1919,0.294,1916
25000,0.15,59.65,0.3,285.8,0.353,1925,0.224,1919,0.252,1916
30000,0.12,60.68,0.3,344.9,0.341,1925,0.287,1920,0.205,1916
35000,0.12,59.78,0.3,403.7,0.293,1925,0.329,1922,0.208,1916
40000,0.12,60.04,0.3,462.4,0.233,1925,0.39,1922,0.206,1916
45000,0.12,59.4,0.3,520.4,0.247,1925,0.348,1922,0.24,1917
50000,0.12,60.41,0.2,579.5,0.303,1925,0.251,1922,0.273,1917
55000,0.12,60.82,0.2,639.1,0.322,1930,0.254,1922,0.256,1918
60000,0.12,59.8,0.3,697.0,0.293,1931,0.242,1922,0.301,1919
